School,Type,School UID,School Number,Suburb,Coord East,Coord South,Google Maps Link,Google Maps,School Info
Bethvale,Primary,SCH-00072,72,Bethelsdorp,-33.877126,25.50194034,"https://www.google.com/maps?q=-33.877126279731684,25.501940339675247","https://www.google.com/maps?q=-33.877126279731684,25.501940339675247","School Address: Bowker Street, Bloemendal, Gqeberha, 6059
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: 041 481 5009
Suburb: Bloemendal, Gqeberha"
BJ Mnyanda,Primary,SCH-00057,57,Kwazakhele,-33.888347,25.58640198,"https://www.google.com/maps?q=-33.888347,25.58640198","https://www.google.com/maps?q=-33.888347,25.58640198","School Address: Njoli Road, Kwazakhele, Gqeberha, 6205
School Email: bj.mnyanda9@gmail.com
School Principal: Mr. Simphiwe Lukasi
School Phone number: 041 466 5440
Suburb: Kwazakhele"
Boet Jegels,Primary,SCH-00159,159,Booysen Park,,,,,
Bomi obutsha,ECD,SCH-00257,257,,,,,,
Bright Angels,ECD,SCH-00299,299,Motherwell,-33.803449,25.57836548,"https://www.google.com/maps?q=-33.80344859167251,25.578365483217258","https://www.google.com/maps?q=-33.80344859167251,25.578365483217258","School Address: No confirmed address in Eastern Cape found; the website lists 30 KG 9 Avenue, Nyarutarama, Kigali, Rwanda, which does not match the Eastern Cape, South Africa.
School Email: info@brightangelsinternationalschool.com
School Principal: Not named, but principal's contact is 0788305818
School Phone number: 0788305818 (Principal), 0788567387 (Director & Founder), 0783586558 (Receptionist)
Suburb: Not confirmed for Eastern Cape

Note: The information found is for Bright Angels International School in Kigali, Rwanda, not the Eastern Cape, South Africa. No verified details for a Bright Angels school in the Eastern Cape were found in the public sources reviewed."
Busy Bee,ECD,SCH-00262,262,Zwide,-33.868025,25.57241663,"https://www.google.com/maps?q=-33.868025,25.57241663","https://www.google.com/maps?q=-33.868025,25.57241663","School Address: 18 Carnegie Street, Extension 2, Butterworth, 4960
School Email: Not publicly listed
School Principal: Lulema R.
School Phone number: 047 491 8130
Suburb: Butterworth"
C W Hendrickse,Primary,SCH-00122,122,Rosedale,-33.739724,25.37254448,"https://www.google.com/maps?q=-33.73972422059023,25.372544481996997","https://www.google.com/maps?q=-33.73972422059023,25.372544481996997","School Address: 137 Acacia Avenue, Mountain View, Kariega, 6229
School Email: cwhprimary@hotmail.com
School Principal: Reciet Ag
School Phone number: 041 988 1198
Suburb: Mountain View, Kariega"
Canzibe,Primary,SCH-00090,90,Motherwell,-33.802247,25.59731976,"https://www.google.com/maps?q=-33.802247,25.59731976","https://www.google.com/maps?q=-33.802247,25.59731976","School Address: 162 Mkhombe Street, Motherwell, Gqeberha (Port Elizabeth), 6211
School Email: Not publicly listed; general contact via Eastern Cape Education Department
School Principal: Not publicly listed
School Phone number: 041 469 2098
Suburb: Motherwell, Gqeberha (Port Elizabeth)"
Caritas,Primary,SCH-00182,182,Rosedale,-33.732837,25.37111518,"https://www.google.com/maps?q=-33.7328374889468,25.371115181520935","https://www.google.com/maps?q=-33.7328374889468,25.371115181520935","School Address: Warbler Road, Rosedale, Uitenhage, 6230
School Email: amirpsatirac@gmail.com
School Principal: Not publicly listed
School Phone number: 041 988 4204 / 041 988 4202
Suburb: Rosedale, Uitenhage"
Cebelihle,Primary,SCH-00068,68,Zwide,-33.867528,25.54803349,"https://www.google.com/maps?q=-33.86752756212128,25.548033493650596","https://www.google.com/maps?q=-33.86752756212128,25.548033493650596","School Address: Mbeki Street, Govan Mbeki Township, Gqeberha, 6001
School Email: yramirpelhilebec@moklet.as (reverse to: cebelihleprimary@telkomsa.net)
School Principal: Not publicly listed in recent sources
School Phone number: 041 464 2241
Suburb: Govan Mbeki Township, Gqeberha"
Cedarberg,Primary,SCH-00110,110,Booysen Park,-33.862788,25.46711079,"https://www.google.com/maps?q=-33.862787649758445,25.46711079365035","https://www.google.com/maps?q=-33.862787649758445,25.46711079365035","School Address: Cedarberg Close, Booysen Park, Port Elizabeth, 6059
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: 061 466 1132 / +27 41 456 4221
Suburb: Booysen Park"
Charles Duna,Primary,SCH-00281,281,New Brighton,-33.895661,25.59254770,"https://www.google.com/maps?q=-33.89566123178045,25.592547701661456","https://www.google.com/maps?q=-33.89566123178045,25.592547701661456","School Address: Msimka Street, New Brighton, Port Elizabeth, 6200
School Email: Not publicly listed (general contact via Eastern Cape Education Department)
School Principal: Sume Nm
School Phone number: 041 454 1397 / 041 464 4003
Suburb: New Brighton, Gqeberha (Port Elizabeth)"
Charlotte Educare,ECD,SCH-00329,329,,,,,,
Chubekile,High School,SCH-00036,36,Kwazakhele,-33.877926,25.57214225,"https://www.google.com/maps?q=-33.877925533346506,25.572142251321974","https://www.google.com/maps?q=-33.877925533346506,25.572142251321974","School Address: Tubali Street, Kwazakhele, Gqeberha, 6205
School Email: Not publicly listed
School Principal: M.T. Ntdla
School Phone number: 041 450 2729
Suburb: Kwazakhele"
Cillie,High School,SCH-00325,325,Sydenham,,,,,
Cingani,High School,SCH-00026,26,Motherwell,-33.821006,25.58854341,"https://www.google.com/maps?q=-33.82100558010914,25.58854340898934","https://www.google.com/maps?q=-33.82100558010914,25.58854340898934","School Address: 61 Kabonqaba Street, Swartkopsvalley, Gqeberha, 6211
School Email: Not publicly listed
School Principal: S Faku
School Phone number: 041 462 6056
Suburb: Swartkopsvalley"
Clarkson,Primary,SCH-00319,319,Clarkson,-34.010486,24.34785856,"https://www.google.com/maps?q=-34.010486417378,24.347858558901436","https://www.google.com/maps?q=-34.010486417378,24.347858558901436","School Address: Church Street, Clarkson, 6302
School Email: Not publicly listed
School Principal: Booysen Rca
School Phone number: +27 42 280 0023 or +27 42 280 6204
Suburb: Clarkson, Eastern Cape."
Coega,Primary,SCH-00190,190,Wells Estate,-33.820179,25.63557420,"https://www.google.com/maps?q=-33.82017871258245,25.63557419502069","https://www.google.com/maps?q=-33.82017871258245,25.63557419502069","School Address: Polska Street, Motherwell Ext, Motherwell, 6211
School Email: Not publicly listed
School Principal: Vuyisile Mbombela
School Phone number: 073 393 8425
Suburb: Motherwell, Gqeberha (Port Elizabeth)"
Colchester,Primary,SCH-00113,113,Colchester,,,,,
Colleen Glen,Primary,SCH-00111,111,Seaview,-33.970214,25.36963135,"https://www.google.com/maps?q=-33.97021392573423,25.36963135317452","https://www.google.com/maps?q=-33.97021392573423,25.36963135317452","School Address: 66 Dromedaris Road, Seaview, Gqeberha, 6018
School Email: 200100129@vodamail.co.za
School Principal: Makunga Nc
School Phone number: 041 372 2296
Suburb: Seaview"
Coselelani,High School,SCH-00001,1,Motherwell,-33.804930,25.57257724,"https://www.google.com/maps?q=-33.80492979897343,25.57257723782387","https://www.google.com/maps?q=-33.80492979897343,25.57257723782387","School Address: Ngqokweni Street, Motherwell, Gqeberha, 6211
School Email: hgihinalelesoc@gmail.com
School Principal: Not publicly listed
School Phone number: 041 205 0816
Suburb: Motherwell, Gqeberha"
Cowan,High School,SCH-00037,37,New Brighton,-33.903894,25.59309875,"https://www.google.com/maps?q=-33.903893794138995,25.593098753170832","https://www.google.com/maps?q=-33.903893794138995,25.593098753170832","School Address: 20 Madala Street, New Brighton, Gqeberha, 6200
School Email: Not publicly listed
School Principal: Trevor Dolley
School Phone number: 041 454 3325
Suburb: New Brighton"
Cuttee Babies Nursery,ECD,SCH-00232,232,Kwazakhele,-33.897187,25.60321669,"https://www.google.com/maps?q=-33.89718748030103,25.60321668705437","https://www.google.com/maps?q=-33.89718748030103,25.60321668705437","School Address: 1A 5th Avenue, Newton Park, Gqeberha, 6045, Eastern Cape
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: Not publicly listed
Suburb: Newton Park

No official website or public directory lists the principal, email, or phone number for Cuttee Babies Nursery. The address is confirmed via Google Maps."
Dalrose,Primary,SCH-00196,196,Rosedale,-33.738101,25.37292219,"https://www.google.com/maps?q=-33.73810100044496,25.372922193169632","https://www.google.com/maps?q=-33.73810100044496,25.372922193169632","School Address: Pelican Street, Rosedale, Uitenhage, 6230
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: 041 988 4545
Suburb: Rosedale, Uitenhage"
Dalubuhle,High School,SCH-00010,10,Alice,,,,,
Daniels,Primary,SCH-00098,98,Zwide,-33.866675,25.56901188,"https://www.google.com/maps?q=-33.86667473433699,25.56901187830917","https://www.google.com/maps?q=-33.86667473433699,25.56901187830917","School Address: Haya Street, Zwide, Gqeberha, 6200
School Email: yramirpsleinad@gmail.com
School Principal: Not publicly listed
School Phone number: 041 459 0181
Suburb: Zwide, Gqeberha"
David Vuku,Primary,SCH-00064,64,New Brighton,-33.894887,25.59907722,"https://www.google.com/maps?q=-33.894886696846164,25.599077222731083","https://www.google.com/maps?q=-33.894886696846164,25.599077222731083","School Address: Naude Street, New Brighton, Port Elizabeth, 6200
School Email: az.oc.liamadov@251001002
School Principal: Not publicly listed
School Phone number: 041 458 5025 / 073 870 7417
Suburb: New Brighton"
De Vos Malan,Primary,SCH-00114,114,Schauderville,-33.929302,25.56685108,"https://www.google.com/maps?q=-33.929302025365274,25.566851083854964","https://www.google.com/maps?q=-33.929302025365274,25.566851083854964","School Address: c/o Dinsmore Road and Lawler Street, Schauderville, Port Elizabeth, 6020
School Email: devosmalanprimary@gmail.com
School Principal: (Not listed on public sources; recent posts mention the passing of Mr Derrick Raubenheimer, possibly the previous principal)
School Phone number: +27 67 133 5909
Suburb: Schauderville"
Despatch,Primary,SCH-00132,132,Resevoir Hills,-33.816337,25.46301195,"https://www.google.com/maps?q=-33.8163365353468,25.463011951318403","https://www.google.com/maps?q=-33.8163365353468,25.463011951318403","School Address: Amperbo Street, Bothasrus, Despatch, 6220
School Email: Not publicly listed
School Principal: Colin Bartle
School Phone number: 041 933 5104
Suburb: Bothasrus, Despatch"
Dias,Primary,SCH-00189,189,Theescombe,,,,,
Die Heuwel,Primary,SCH-00153,153,Hillside,-33.899824,25.53224312,"https://www.google.com/maps?q=-33.89982399705243,25.532243122487795","https://www.google.com/maps?q=-33.89982399705243,25.532243122487795","School Address: Carelson Street, Hillside, Gqeberha, 6059
School Email: mjordaan@dieheuwelprimary.co.za
School Principal: (Not publicly listed in recent sources)
School Phone number: 041 450 7692 / 041 452 3313
Suburb: Hillside, Gqeberha"
Dietrich,Primary,SCH-00121,121,Schauderville,-33.936037,25.57731125,"https://www.google.com/maps?q=-33.936037448660194,25.577311253172695","https://www.google.com/maps?q=-33.936037448660194,25.577311253172695","School Address: Grundlingh Street, Schauderville, Gqeberha, 6020
School Email: dietrichps@gmail.com
School Principal: Chantel Milborrow
School Phone number: +27 41 453 3655
Suburb: Schauderville"
Dorcas Educare Centre,ECD,SCH-00239,239,Bethelsdorp,,,,,
Dorothy,ECD,SCH-00318,318,Kwazakhele,-33.886021,25.59799722,"https://www.google.com/maps?q=-33.88602111972884,25.597997219949217","https://www.google.com/maps?q=-33.88602111972884,25.597997219949217","School Address: 50306 Stofile Street, Kwa Zakhele, Gqeberha, 6205
School Email: Not publicly listed
School Principal: Nomnganga Pn (2023)
School Phone number: (+27) 63 133 6311
Suburb: Kwa Zakhele, Gqeberha"
Douglas Mbopa,High School,SCH-00002,2,Motherwell,-33.798380,25.60828648,"https://www.google.com/maps?q=-33.79838036013801,25.608286480152778","https://www.google.com/maps?q=-33.79838036013801,25.608286480152778","School Address: 1 Matanzima Street, NU 2, Motherwell, Gqeberha, 6211
School Email: 10apobmsalguod@gmail.com
School Principal: Mr N F Bottoman
School Phone number: 041 469 1135
Suburb: Motherwell"
Dr A W Habelgaarn,Primary,SCH-00191,191,Chatty,-33.866032,25.50363172,"https://www.google.com/maps?q=-33.86603228954331,25.503631720166496","https://www.google.com/maps?q=-33.86603228954331,25.503631720166496","School Address: Arkeldien Street, Chatty, Gqeberha, 6059
School Email: habelgaarnprimaryschool@gmail.com
School Principal: Mrs. Rochelle Botha
School Phone number: 041 481 2534 / 041 481 3425
Suburb: Chatty, Gqeberha"
Dumani,Primary,SCH-00280,280,Motherwell,-33.810768,25.60414135,"https://www.google.com/maps?q=-33.810768,25.60414135","https://www.google.com/maps?q=-33.810768,25.60414135","School Address: Khwalimanzi Street, Nu 3 Motherwell, Gqeberha, 6211
School Email: az.oc.liamadov@481001002
School Principal: Not publicly listed
School Phone number: 041 469 1191
Suburb: Motherwell, Gqeberha"
Early Rose,ECD,SCH-00230,230,,-33.797187,25.60007679,"https://www.google.com/maps?q=-33.797187,25.60007679","https://www.google.com/maps?q=-33.797187,25.60007679","'- School Address: No publicly listed street address found, but coordinates are -33.797187, 25.60007679 (per Google Maps link), which places it in the suburb of Motherwell, Gqeberha (Port Elizabeth), Eastern Cape.
- School Email: Not publicly available.
- School Principal: Not publicly available.
- School Phone number: Not publicly available.
- Suburb: Motherwell, Gqeberha (Port Elizabeth), Eastern Cape."
Ebongweni,Primary,SCH-00288,288,Kwazakhele,-33.886577,25.59307854,"https://www.google.com/maps?q=-33.88657731182538,25.593078539044985","https://www.google.com/maps?q=-33.88657731182538,25.593078539044985","School Address: 2 Madikane Street, Kwazakhele, Gqeberha, 6205
School Email: az.vog.vorpce.ude@781001002
School Principal: Not publicly listed
School Phone number: 041 466 0921 / 082 436 0792
Suburb: Kwazakhele"
Ekhaya,ECD,SCH-00282,282,New Brighton,,,,,
Elufefeni,Primary,SCH-00274,274,Motherwell,-33.815895,25.57832300,"https://www.google.com/maps?q=-33.815895,25.578323","https://www.google.com/maps?q=-33.815895,25.578323","School Address: 34 Mzwazwa Street, Motherwell, Gqeberha, 6211
School Email: yramirpinefefule@gmail.com
School Principal: Not publicly listed
School Phone number: 041 476 0217
Suburb: Motherwell"
Elukholweni,Primary,SCH-00108,108,Theescombe,,,,,
Elundini,Primary,SCH-00054,54,Motherwell,-33.800416,25.59449585,"https://www.google.com/maps?q=-33.800415905113304,25.594495854268374","https://www.google.com/maps?q=-33.800415905113304,25.594495854268374","School Address: 23 Bikana Street, Motherwell, 6211, Eastern Cape
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: 041 489 0323
Suburb: Motherwell, Gqeberha (Port Elizabeth)"
Emafini,Primary,SCH-00073,73,KwaDwesi,,,,,
Emfundweni,Primary,SCH-00210,210,Zwide,-33.858890,25.55241160,"https://www.google.com/maps?q=-33.85889000634322,25.552411596136718","https://www.google.com/maps?q=-33.85889000634322,25.552411596136718","School Address: Qeto Location, Peddie, 5640
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: 079 500 5830
Suburb: Peddie"
Emfundweni Pre-R Educare,ECD,SCH-00213,213,Zwide,,,,,
Emmanuel Day Care,ECD,SCH-00091,91,Kwazakhele,-33.882236,25.58708277,"https://www.google.com/maps?q=-33.88223647819642,25.587082772014572","https://www.google.com/maps?q=-33.88223647819642,25.587082772014572","School Address: Willowvale, Eastern Cape, P.O Box 328
School Email: Not publicly listed
School Principal: Lindelwa Tokozani Ntwasa
School Phone number: Not publicly listed
Suburb: Willowvale"
Empumalanga,Primary,SCH-00305,305,Motherwell,-33.802862,25.57756184,"https://www.google.com/maps?q=-33.80286155057907,25.57756184442606","https://www.google.com/maps?q=-33.80286155057907,25.57756184442606","School Address: Ntsanyana Street, Nu9, Motherwell, 6211
School Email: 200100203@vodamail.co.za
School Principal: Maqanda Nl (2023)
School Phone number: (+27) 41 462 0082
Suburb: Motherwell"
Emsengeni,Primary,SCH-00076,76,Soweto On Sea,-33.865656,25.56207521,"https://www.google.com/maps?q=-33.86565618061583,25.56207521160438","https://www.google.com/maps?q=-33.86565618061583,25.56207521160438","School Address: Naka Street, Zwide, Gqebera, 6201
School Email: lanyoka3@gmail.com / az.oc.liamadov@402001002
School Principal: Not publicly listed
School Phone number: 041 464 5780 / 041 464 5781 / 078 886 5335
Suburb: Zwide, Gqebera"
Emzomncane,Primary,SCH-00099,99,Zwide,-33.866267,25.57792042,"https://www.google.com/maps?q=-33.866267077235044,25.5779204204903","https://www.google.com/maps?q=-33.866267077235044,25.5779204204903","School Address: James Street, Zwide, Gqeberha, 6061
School Email: emzomncaneprimary@gmail.com
School Principal: (Not publicly listed in available sources)
School Phone number: 041 467 0184
Suburb: Zwide"
Enkulekweni,Primary,SCH-00075,75,Motherwell,-33.772173,25.57161513,"https://www.google.com/maps?q=-33.772173252599856,25.571615126175484","https://www.google.com/maps?q=-33.772173252599856,25.571615126175484","School Address: Ward 54, Nu 29, Motherwell, Port Elizabeth
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: Not publicly listed
Suburb: Motherwell, Port Elizabeth, Eastern Cape"
Enkwenkwezini,Primary,SCH-00070,70,Motherwell,-33.800786,25.61273917,"https://www.google.com/maps?q=-33.800785765084896,25.612739166658976","https://www.google.com/maps?q=-33.800785765084896,25.612739166658976","School Address: Dyamala Location, Alice, 5700, Eastern Cape
School Email: enkwenkwezinisss@gmail.com
School Principal: Not publicly listed
School Phone number: +27 72 484 2313 / +27 47 564 1241
Suburb: Dyamala Location, Alice"
Enqileni,Primary,SCH-00097,97,Motherwell,-33.804634,25.60595884,"https://www.google.com/maps?q=-33.80463379329519,25.60595884336618","https://www.google.com/maps?q=-33.80463379329519,25.60595884336618","School Address: Phalo Street, N.U. 2, Motherwell, 6211
School Email: vuyiswaamam@yahoo.com
School Principal: Not publicly listed in recent sources
School Phone number: 041 469 2034
Suburb: Motherwell, Gqeberha (Port Elizabeth)"
Entokozweni EduCare,ECD,SCH-00247,247,,,,,,
Esitiyeni,Primary,SCH-00198,198,Zwide,-33.859314,25.56174444,"https://www.google.com/maps?q=-33.8593135221202,25.561744439198915","https://www.google.com/maps?q=-33.8593135221202,25.561744439198915","School Address: Cnr Katyu & Ndabambi Street, Zwide, Gqeberha (Port Elizabeth), 6201
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: +27 41 464 2377 / +27 81 410 3096
Suburb: Zwide"
EZ Kabane,High School,SCH-00046,46,Kwa-Dwesi,-33.840035,,,,
Ezibeleni ,ECD,SCH-00231,231,,,,,,
Fernwood Park,Primary,SCH-00164,164,Hillside,-33.865372,25.51732061,"https://www.google.com/maps?q=-33.86537245649928,25.51732060851798","https://www.google.com/maps?q=-33.86537245649928,25.51732060851798","School Address: C/O Nicholson & Soudien Road, Fernwood Park Ext. 29, Gqeberha (Port Elizabeth), 6059
School Email: az.oc.liamadov@912001002
School Principal: Melisha Benjamin
School Phone number: 041 485 1559
Suburb: Fernwood Park, Gqeberha (Port Elizabeth)"
Fontein,Primary,SCH-00161,161,Galvandale,-33.912376,25.55539306,"https://www.google.com/maps?q=-33.91237570919772,25.555393064345097","https://www.google.com/maps?q=-33.91237570919772,25.555393064345097","School Address: Mcmanus Crescent, Gelvandale, Port Elizabeth, 6016
School Email: remlesmailliw@gmail.com
School Principal: Groenewald G (2023)
School Phone number: (+27) 41 452 1341
Suburb: Gelvandale, Port Elizabeth"
Frank Joubert,Primary,SCH-00180,180,Schauderville,-33.931611,25.57211218,"https://www.google.com/maps?q=-33.93161072420069,25.572112181533065","https://www.google.com/maps?q=-33.93161072420069,25.572112181533065","School Address: Highfield Road, Schauderville, Gqeberha, 6020
School Email: frank.joubert1943@gmail.com
School Principal: (Not publicly listed in recent sources)
School Phone number: +27 41 110 2478
Suburb: Schauderville"
Fumisukoma,Primary,SCH-00283,283,Motherwell,-33.802852,25.58195450,"https://www.google.com/maps?q=-33.802852,25.5819545","https://www.google.com/maps?q=-33.802852,25.5819545","School Address: Ngqokweni Street, NU 9, Motherwell, 6211
School Email: Not publicly listed (may use district/department email)
School Principal: Not publicly listed
School Phone number: 041 462 1204
Suburb: Motherwell, Gqeberha (Port Elizabeth)"
Funimfundo,Primary,SCH-00062,62,Zwide,-33.854207,25.55261465,"https://www.google.com/maps?q=-33.85420710598839,25.552614653167943","https://www.google.com/maps?q=-33.85420710598839,25.552614653167943","School Address: Koyana Street, Zwide, Gqeberha (Port Elizabeth), 6000
School Email: podnufminuf@gmail.com
School Principal: Duna Km
School Phone number: 041 459 5555 / 041 464 7777
Suburb: Zwide"
Future Angels ,ECD,SCH-00052,52,Motherwell,,,,,
